filename	label	text	span
es-S0365-66912007001100010-1	ENFERMEDAD	retinotoxicidad por vigabatrina	1100, 1131
es-S0004-06142009000100014-1	ENFERMEDAD	metástasis ganglionares retroperitoneales	736, 777
es-S1139-76322014000500014-1	PROCEDIMIENTO	RM craneal	1202, 1212
es-S0211-69952015000100013-1	SINTOMA	Doppler de arterias renales y el ecocardiograma no mostraron alteraciones	2104, 2177
es-S1699-695X2015000100013-1	ENFERMEDAD	MAVD	1596, 1600
es-S0211-69952017000200225-2	SINTOMA	ferritina y saturación de transferan normales	338, 383
es-S0212-71992007000300007-1	PROCEDIMIENTO	exploración física	561, 579
es-S1131-57682003000400014-1	SINTOMA	ganglios linfáticos, siendo los 25 negativos para células tumorales	1886, 1953
es-S0210-48062009000600016-1	SINTOMA	sangrado	402, 410
es-S1130-01082007000600012-1	PROCEDIMIENTO	biopsia de médula ósea	2138, 2160
es-S1130-14732005000200003-1	SINTOMA	inestabilidad a la marcha	3989, 4014
es-S0212-71992007000100007-1	ENFERMEDAD	poliartrosis	65, 77
es-S0004-06142007000900013-1	SINTOMA	teste derecho de características normales	655, 696
es-S0376-78922011000500005-1	PROCEDIMIENTO	antisépticos locales	1282, 1302
es-S0378-48352006000500005-1	ENFERMEDAD	engrosamiento de la unión esófago-gástrica	1006, 1048
es-S1130-05582010000200003-1	PROCEDIMIENTO	ecografía parotídea	1133, 1152
es-S0004-06142009000300014-1	PROCEDIMIENTO	lipoma paratesticular, se practicó una excisión inguinal izquierda	795, 861
es-S1887-85712011000200007-1	ENFERMEDAD	miopización e hipertensión ocular por cierre angular agudo secundarios al tratamiento con topiramato	2452, 2552
es-S0210-48062009000600018-1	ENFERMEDAD	herida inguinal	383, 398
es-S1130-01082009000500011-1	SINTOMA	estenosis parcial de la luz esofágica,	446, 484
es-S0211-69952014000200012-1	PROCEDIMIENTO	trasplante renal de donante cadáver	344, 379
es-S0210-56912009000600008-1	PROCEDIMIENTO	broncoscopia rígida	1261, 1280
es-S0212-71992006001000008-1	PROCEDIMIENTO	pruebas complementarias, analíticas y de imagen	1106, 1153
es-S1130-14732005000200003-1	ENFERMEDAD	cavernoma	3139, 3148
es-S1139-76322016000300013-1	PROCEDIMIENTO	estudio genético	1188, 1204
es-S1139-76322015000100014-1	SINTOMA	mialgias	3065, 3073
es-S1139-76322009000200009-1	PROCEDIMIENTO	exploración	1150, 1161
es-S1134-80462004000600007-1	SINTOMA	migración de la punta del catéter venoso hasta quedar localizado a nivel pleural	2866, 2946
es-S0210-48062006000300015-1	PROCEDIMIENTO	ureteroscopia derecha	964, 985
es-S0211-69952011000500011-3	SINTOMA	taquipnea	629, 638
es-S1130-05582012000400006-1	ENFERMEDAD	fragmentos óseos endocraneales parieto-temporales	1426, 1475
es-S1137-66272008000300009-1	ENFERMEDAD	lesión	2898, 2904
es-S0365-66912006001200010-1	SINTOMA	exoftalmos	760, 770
es-S1130-05582014000400006-1	PROCEDIMIENTO	drenajes pasivos con sonda Nellaton	2277, 2312
es-S0378-48352006000500005-1	ENFERMEDAD	metástasis	1150, 1160
es-S1130-05582013000400006-1	PROCEDIMIENTO	estudio inmunohistoquímico	1763, 1789
es-S1889-836X2016000100006-1	SINTOMA	dilatación de la aorta ascendente	1849, 1882
es-S0004-06142007000900014-1	PROCEDIMIENTO	auscultación cardiopulmonar	445, 472
es-S0211-69952012000500016-1	SINTOMA	iones, enzimas hepáticas y lípidos: normales	1088, 1132
es-S1698-44472004000100009-1	SINTOMA	tumoración carnosa de consistencia densa que rodeaba la rama del nervio dentario inferior	537, 626
es-S0212-71992004001100007-1	ENFERMEDAD	fenómenos vasculíticos	1423, 1445
es-S1137-66272011000300022-1	PROCEDIMIENTO	controles de imagen (RM)	1665, 1689
